falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros
0.04025228367147127,0.00015509606153421793,0.00031899399922060524,1.5095501266481217e-09,0.0030645351272384005,0.6318981158569821,0.6207575470378015
0.008631347669135045,4.0853347377442875e-05,0.004736752887292843,5.176881217365595e-10,0.016835478722570213,0.17982486359798283,0.7703020174969732
0.10770535958730933,0.0003872926964836726,0.0008608944003533135,1.4293666955790369e-05,0.002074593276054729,0.5999823802098944,0.40703040204364466
0.16980411762165948,0.02085039592821009,0.07931382753064647,0.006053645017470592,0.15052636220392698,0.1703006641573992,0.33168200339228016
0.09597337639971718,0.002288833510822322,0.0009085185170476273,0.0010981826072862073,0.0005489359820707507,0.5112032305974384,0.3248973242299271
6.39347585659883e-06,0.46888105651813056,0.008691934824773002,0.002777684978621363,0.0070417757061651265,0.08342074910517497,0.38195664381458605
0.31913513150985573,4.9511588829416494e-05,0.00034405331427296207,6.680076708390448e-05,0.0005163860433394193,0.5569814985975416,0.3235377842053363
0.0265866623709373,0.0019537218151389254,0.1155629294559096,0.8045907755440703,0.028785956762670022,0.2808495730366714,0.22608661843629582
7.829125805003228e-05,0.25974072146311783,0.8043593024123021,4.641962792262698e-07,0.0014174526491369647,0.03146182235504518,0.10154350054552784
0.6704254170040851,0.00011193194092979518,0.00015649655076682028,2.424850868698198e-05,0.016663201858500003,0.3411494192194183,0.32968443862586505
0.4540864025041892,6.87363180346999e-05,0.017597050156828414,0.00016918676834476576,0.004280729383470338,0.06393030118151707,0.509852274344924
0.00012047653414754286,0.02258165505222823,0.9653365023465806,3.625992242143758e-07,0.00017999689415769605,0.019155988628890428,0.08785897547487258
0.0002446244236317835,0.00015684253373376617,0.5754564914084042,9.659641804265039e-08,0.00594364872615413,0.22203534515944207,0.8025444464303791
0.0005536553716374144,0.012122572726268861,0.9958148005185595,4.1538957824601677e-07,0.0007788265482346985,0.01920335432789844,0.06311282459709497
